"hhold_ID","discount_original","coupon_received","cabin_type","est_inc","season_of_year","ticket_spend","cruise_theme","incidental_spending","park_package","embark_port","res_to_port","number_children","oldest_child_age","dis_plus_sub","return_1065"
3598,1,1,"Verandah",19280.985,"Winter",2649,"prin_fro",2898.75434300911,1,"Vancouver",558,3,6,1,0
155,1,0,"Concierge",825719.96,"Spring",2941,"Star Wars",2898.75434300911,1,"Port Canaveral",280,3,8,1,0
353,1,0,"Oceanview",3755246.459,"Fall",2609,"Marvel",11750.8293638609,1,"Port Canaveral",351,3,3,1,0
1474,1,1,"Oceanview",96831.55,"Winter",2367,"Marvel",13945.3435115103,1,"Copenhagen",314,3,7,0,0
3272,1,0,"Verandah",11027.249,"Spring",3021,"Marvel",2898.75434300911,1,"Copenhagen",342,4,10,1,0
4953,1,0,"Oceanview",145227.45,"Summer",2009,"prin_fro",2898.75434300911,1,"Copenhagen",267,4,6,0,0
6741,1,0,"Concierge",1446329.08,"Summer",2941,"Star Wars",2715.31133942977,1,"Port Canaveral",401,4,5,0,0
1037,1,0,"Oceanview",114218.73,"Fall",1614,"Star Wars",2898.75434300911,1,"San Diego",283,4,6,0,0
1345,1,0,"Concierge",118362.631,"Spring",2449,"Star Wars",5858.91066927277,1,"Copenhagen",442,3,10,0,0
3132,1,0,"Inside",341862.729,"Spring",2157,"NaN",2898.75434300911,1,"New York",300,3,5,1,0
5666,1,0,"Verandah",45255.146,"Winter",1799,"Marvel",4225.8426733233,1,"New York",253,3,4,0,1
2964,1,0,"Verandah",919336.539,"Summer",2856,"Star Wars",12839.6804778583,1,"Vancouver",468,3,12,0,0
6267,1,0,"Concierge",1760.945,"Fall",3408,"prin_fro",1792.10015172288,1,"Vancouver",335,4,16,1,0
3728,1,0,"Concierge",308047.335,"Spring",3406,"starwars",2898.75434300911,1,"Vancouver",520,1,15,1,0
1048,1,0,"Concierge",248.513,"Summer",2106,"Star Wars",2898.75434300911,1,"Vancouver",303,5,13,1,0
4976,1,0,"Concierge",102502.695,"Spring",3202,"Marvel",3735.5891672086,1,"Port Canaveral",274,1,16,0,0
1291,1,1,"Oceanview",204182.628,"Winter",1932,"NaN",2898.75434300911,1,"New York",309,4,15,0,0
2139,1,1,"Oceanview",476286.319,"Summer",1836,"NaN",15532.601781287,1,"Copenhagen",270,2,18,1,0
3861,1,0,"Verandah",65729.366,"Spring",2636,"Princess/Frozen",3317.18672238514,1,"Barcelona",423,2,5,0,0
5862,1,0,"Oceanview",111425.263,"Winter",1848,"prin_fro",2898.75434300911,1,"San Diego",282,1,8,0,0
6552,1,0,"Concierge",801173.749,"Winter",2849,"Marvel",10575.7489846192,1,"New York",300,3,12,1,0
