Date,Net_Income
2009-03-31,613.00
2009-06-30,954.00
2009-09-30,895.00
2009-12-31,844.00
2010-03-31,953.00
2010-06-30,"1,331.00"
2010-09-30,835.00
2010-12-31,"1,302.00"
2011-03-31,942.00
2011-06-30,"1,476.00"
2011-09-30,"1,087.00"
2011-12-31,"1,464.00"
2012-03-31,"1,143.00"
2012-06-30,"1,831.00"
2012-09-30,"1,244.00"
2012-12-31,"1,382.00"
2013-03-31,"1,513.00"
2013-06-30,"1,847.00"
2013-09-30,"1,394.00"
2013-12-31,"1,840.00"
2014-03-31,"1,917.00"
2014-06-30,"2,245.00"
2014-09-30,"1,499.00"
2014-12-31,"2,182.00"
2015-03-31,"2,108.00"
2015-06-30,"2,483.00"
2015-09-30,"1,609.00"
2015-12-31,"2,880.00"
2016-03-31,"2,143.00"
2016-06-30,"2,597.00"
2016-09-30,"1,771.00"
2016-12-31,"2,479.00"
2017-03-31,"2,388.00"
2017-06-30,"2,366.00"
2017-09-30,"1,747.00"
2017-12-31,"4,423.00"
2018-03-31,"2,937.00"
2018-06-30,"2,916.00"
2018-09-30,"2,322.00"
2018-12-31,"2,788.00"
2019-03-31,"5,452.00"
2019-06-30,"1,760.00"
2019-09-30,"1,054.00"
2019-12-31,"2,107.00"
2020-03-31,460.00
2020-06-30,"-4,721.00"
2020-09-30,-710.00
2020-12-31,17.00
2021-03-31,901.00
2021-06-30,918.00
2021-09-30,159.00
2021-12-31,"1,104.00"
2022-03-31,470.00
2022-06-30,"1,409.00"
2022-09-30,162.00
2022-12-31,"1,279.00"
2023-03-31,"1,271.00"
2023-06-30,-460.00
2023-09-30,264.00
2023-12-31,"1,911.00"
